axis,alpha_unit,n,mean_plutchik_max,mean_plutchik_entropy,mean_other_score,frac_other_dominant,top_other_label,top_other_count,top_plutchik,n_unique_other_labels,mean_s_anger,mean_s_anticipation,mean_s_disgust,mean_s_fear,mean_s_joy,mean_s_sadness,mean_s_surprise,mean_s_trust
45,0.0,8,0.475,0.8487826271902474,0.425,0.5,indecision,1,anticipation,7,0.0,0.4625,0.0,0.0875,0.1875,0.0625,0.0,0.325
45,2.0,8,0.4375,0.7225929396087424,0.35,0.5,determination,1,anticipation,5,0.0,0.4375,0.0,0.0625,0.1875,0.0,0.0625,0.3125
46,-2.0,8,0.2875,0.6042691570812992,0.3375,0.375,apprehension,1,anger,5,0.0,0.22499999999999998,0.0625,0.075,0.1,0.05,0.0,0.2125
46,0.0,8,0.475,0.8910817018990554,0.32499999999999996,0.375,confusion,1,anticipation,5,0.0,0.4625,0.0,0.0875,0.1875,0.0625,0.0125,0.325
46,2.0,8,0.375,0.7783898361856916,0.39999999999999997,0.375,fatigue,1,anticipation,6,0.0,0.2375,0.0,0.1375,0.1625,0.09999999999999999,0.0,0.2875
47,-2.0,8,0.3625,0.7104029940371432,0.375,0.375,eagerness,1,anticipation,5,0.0,0.2875,0.0625,0.0,0.2625,0.0,0.0375,0.275
47,0.0,8,0.475,0.8326080068407429,0.45,0.75,confusion,1,anticipation,7,0.0,0.4625,0.0,0.0875,0.1875,0.075,0.0,0.2875
47,2.0,8,0.45,0.8704907792491051,0.3125,0.25,frustration,2,anticipation,4,0.1,0.2875,0.0125,0.0125,0.25,0.0125,0.05,0.275
48,-2.0,8,0.475,1.1464375157096858,0.475,0.5,confusion,1,anticipation,7,0.0,0.39999999999999997,0.025,0.0625,0.3,0.0375,0.037500000000000006,0.4125
48,0.0,8,0.475,0.8239880975153008,0.4125,0.5,confusion,1,anticipation,7,0.0,0.4375,0.0,0.0875,0.15,0.075,0.0,0.2875
48,2.0,8,0.375,0.7225929395845653,0.36250000000000004,0.25,determination,1,anticipation,6,0.0,0.375,0.0,0.0,0.25,0.0,0.0625,0.3125
49,-2.0,8,0.5125,1.0719336183173596,0.48750000000000004,0.375,uncertainty,2,anticipation,6,0.0,0.46249999999999997,0.0,0.0625,0.4125,0.1,0.0375,0.275
49,0.0,8,0.475,0.8285388643921527,0.425,0.625,indecision,1,anticipation,6,0.0,0.4375,0.0,0.0875,0.15,0.0625,0.0125,0.2875
49,2.0,8,0.4625,0.8075633061007935,0.15,0.125,academic ambition,1,anticipation,2,0.0,0.4375,0.0,0.0,0.25,0.0,0.0,0.4625
50,-2.0,8,0.4,0.9155474506763357,0.41250000000000003,0.5,uncertainty,2,trust,5,0.0,0.26249999999999996,0.0,0.0625,0.1625,0.05,0.025,0.36250000000000004
50,0.0,8,0.475,0.8239880975153008,0.35,0.5,confusion,1,anticipation,6,0.0,0.4375,0.0,0.0875,0.15,0.075,0.0,0.2875
50,2.0,8,0.3,0.5204250119316095,0.2375,0.375,enthusiasm,1,anticipation,4,0.0,0.2875,0.0,0.0,0.1375,0.0,0.0,0.2125
51,-2.0,8,0.4375,0.8655465857932535,0.38749999999999996,0.375,frustration,2,anticipation,4,0.025,0.3625,0.0,0.0625,0.1625,0.1,0.0625,0.3
